action,architecture,compatible
AutoScaling,A_Traditional_Web,1
AutoScaling,B_Managed_Container,1
AutoScaling,D_High_Scale_Microservices,1
AutoScaling,C_Serverless_API,0
AutoScaling,E_Event_Driven_Serverless,0
QueueBuffering,A_Traditional_Web,1
QueueBuffering,B_Managed_Container,1
QueueBuffering,C_Serverless_API,1
QueueBuffering,D_High_Scale_Microservices,1
QueueBuffering,E_Event_Driven_Serverless,1
WAF,A_Traditional_Web,1
WAF,B_Managed_Container,1
WAF,C_Serverless_API,1
WAF,D_High_Scale_Microservices,1
WAF,E_Event_Driven_Serverless,1
ShieldAdvanced,A_Traditional_Web,1
ShieldAdvanced,B_Managed_Container,1
ShieldAdvanced,C_Serverless_API,1
ShieldAdvanced,D_High_Scale_Microservices,1
ShieldAdvanced,E_Event_Driven_Serverless,1
