architecture,path_id,compatible
A_Traditional_Web,EC2Compute,1
A_Traditional_Web,FargateAPI,0
A_Traditional_Web,FargateWorker,0
A_Traditional_Web,LambdaSync,0
A_Traditional_Web,LambdaAsyncQueue,0
A_Traditional_Web,ManagedDB,1
A_Traditional_Web,StoragePath,1
A_Traditional_Web,SpotWorker,1
B_Managed_Container,EC2Compute,0
B_Managed_Container,FargateAPI,1
B_Managed_Container,FargateWorker,1
B_Managed_Container,LambdaSync,0
B_Managed_Container,LambdaAsyncQueue,0
B_Managed_Container,ManagedDB,1
B_Managed_Container,StoragePath,1
B_Managed_Container,SpotWorker,1
C_Serverless_API,EC2Compute,0
C_Serverless_API,FargateAPI,0
C_Serverless_API,FargateWorker,0
C_Serverless_API,LambdaSync,1
C_Serverless_API,LambdaAsyncQueue,1
C_Serverless_API,ManagedDB,1
C_Serverless_API,StoragePath,1
C_Serverless_API,SpotWorker,0
D_High_Scale_Microservices,EC2Compute,1
D_High_Scale_Microservices,FargateAPI,0
D_High_Scale_Microservices,FargateWorker,0
D_High_Scale_Microservices,LambdaSync,0
D_High_Scale_Microservices,LambdaAsyncQueue,0
D_High_Scale_Microservices,ManagedDB,1
D_High_Scale_Microservices,StoragePath,1
D_High_Scale_Microservices,SpotWorker,1
E_Event_Driven_Serverless,EC2Compute,0
E_Event_Driven_Serverless,FargateAPI,1
E_Event_Driven_Serverless,FargateWorker,1
E_Event_Driven_Serverless,LambdaSync,1
E_Event_Driven_Serverless,LambdaAsyncQueue,1
E_Event_Driven_Serverless,ManagedDB,1
E_Event_Driven_Serverless,StoragePath,1
E_Event_Driven_Serverless,SpotWorker,0
