architecture,criterion,score_0_100
A_Traditional_Web,cost_low_traffic,35
A_Traditional_Web,cost_high_steady,80
A_Traditional_Web,ops_simplicity,25
A_Traditional_Web,scalability,50
A_Traditional_Web,reliability,70
A_Traditional_Web,latency_suitability,90
A_Traditional_Web,observability_ease,65
A_Traditional_Web,vendor_lockin_friendliness,80
A_Traditional_Web,infra_control_fit,95
A_Traditional_Web,security_readiness,75
B_Managed_Container,cost_low_traffic,50
B_Managed_Container,cost_high_steady,72
B_Managed_Container,ops_simplicity,65
B_Managed_Container,scalability,85
B_Managed_Container,reliability,82
B_Managed_Container,latency_suitability,85
B_Managed_Container,observability_ease,75
B_Managed_Container,vendor_lockin_friendliness,70
B_Managed_Container,infra_control_fit,78
B_Managed_Container,security_readiness,80
C_Serverless_API,cost_low_traffic,95
C_Serverless_API,cost_high_steady,35
C_Serverless_API,ops_simplicity,92
C_Serverless_API,scalability,90
C_Serverless_API,reliability,82
C_Serverless_API,latency_suitability,45
C_Serverless_API,observability_ease,60
C_Serverless_API,vendor_lockin_friendliness,35
C_Serverless_API,infra_control_fit,30
C_Serverless_API,security_readiness,78
D_High_Scale_Microservices,cost_low_traffic,10
D_High_Scale_Microservices,cost_high_steady,78
D_High_Scale_Microservices,ops_simplicity,10
D_High_Scale_Microservices,scalability,95
D_High_Scale_Microservices,reliability,90
D_High_Scale_Microservices,latency_suitability,90
D_High_Scale_Microservices,observability_ease,70
D_High_Scale_Microservices,vendor_lockin_friendliness,65
D_High_Scale_Microservices,infra_control_fit,92
D_High_Scale_Microservices,security_readiness,85
E_Event_Driven_Serverless,cost_low_traffic,88
E_Event_Driven_Serverless,cost_high_steady,55
E_Event_Driven_Serverless,ops_simplicity,72
E_Event_Driven_Serverless,scalability,92
E_Event_Driven_Serverless,reliability,88
E_Event_Driven_Serverless,latency_suitability,20
E_Event_Driven_Serverless,observability_ease,48
E_Event_Driven_Serverless,vendor_lockin_friendliness,38
E_Event_Driven_Serverless,infra_control_fit,35
E_Event_Driven_Serverless,security_readiness,80
