Scenario,Architecture,Regret
Base_Case,A_Traditional_Web,1.6576
Base_Case,B_Managed_Container,0.3051
Base_Case,C_Serverless_API,0.0
Base_Case,D_High_Scale_Microservices,0.9906
Base_Case,E_Event_Driven_Serverless,0.3143
High_Traffic,A_Traditional_Web,0.9551
High_Traffic,B_Managed_Container,0.1872
High_Traffic,C_Serverless_API,0.3727
High_Traffic,D_High_Scale_Microservices,0.0
High_Traffic,E_Event_Driven_Serverless,0.932
High_Security,A_Traditional_Web,2.3798
High_Security,B_Managed_Container,0.2744
High_Security,C_Serverless_API,0.0
High_Security,D_High_Scale_Microservices,1.6216
High_Security,E_Event_Driven_Serverless,0.2087
Low_Budget,A_Traditional_Web,2.5649
Low_Budget,B_Managed_Container,1.0202
Low_Budget,C_Serverless_API,0.0
Low_Budget,D_High_Scale_Microservices,2.628
Low_Budget,E_Event_Driven_Serverless,0.3679
