Scenario,Architecture,Score,BestPossible
Base_Case,A_Traditional_Web,2.3523,4.0099
Base_Case,B_Managed_Container,3.7048,4.0099
Base_Case,C_Serverless_API,4.0099,4.0099
Base_Case,D_High_Scale_Microservices,3.0193,4.0099
Base_Case,E_Event_Driven_Serverless,3.6956,4.0099
High_Traffic,A_Traditional_Web,2.8401,3.7952
High_Traffic,B_Managed_Container,3.608,3.7952
High_Traffic,C_Serverless_API,3.4225,3.7952
High_Traffic,D_High_Scale_Microservices,3.7952,3.7952
High_Traffic,E_Event_Driven_Serverless,2.8632,3.7952
High_Security,A_Traditional_Web,1.9175,4.2973
High_Security,B_Managed_Container,4.0229,4.2973
High_Security,C_Serverless_API,4.2973,4.2973
High_Security,D_High_Scale_Microservices,2.6757,4.2973
High_Security,E_Event_Driven_Serverless,4.0886,4.2973
Low_Budget,A_Traditional_Web,2.1436,4.7085
Low_Budget,B_Managed_Container,3.6883,4.7085
Low_Budget,C_Serverless_API,4.7085,4.7085
Low_Budget,D_High_Scale_Microservices,2.0805,4.7085
Low_Budget,E_Event_Driven_Serverless,4.3406,4.7085
