workload_type,path_id,compatible
API,EC2Compute,1
API,FargateAPI,1
API,FargateWorker,0
API,LambdaSync,1
API,LambdaAsyncQueue,0
API,ManagedDB,0
API,StoragePath,0
API,SpotWorker,0
Background,EC2Compute,1
Background,FargateAPI,0
Background,FargateWorker,1
Background,LambdaSync,0
Background,LambdaAsyncQueue,1
Background,ManagedDB,0
Background,StoragePath,0
Background,SpotWorker,1
Database,EC2Compute,0
Database,FargateAPI,0
Database,FargateWorker,0
Database,LambdaSync,0
Database,LambdaAsyncQueue,0
Database,ManagedDB,1
Database,StoragePath,0
Database,SpotWorker,0
Storage,EC2Compute,0
Storage,FargateAPI,0
Storage,FargateWorker,0
Storage,LambdaSync,0
Storage,LambdaAsyncQueue,0
Storage,ManagedDB,0
Storage,StoragePath,1
Storage,SpotWorker,0
