=== GAMS SECIM SONUCLARI ===
Low_Budget_M -> Secilen Mimari: B_Managed_Co
Growing_SaaS -> Secilen Mimari: B_Managed_Co
Security_Sen -> Secilen Mimari: B_Managed_Co
Event_Driven -> Secilen Mimari: B_Managed_Co
High_Traffic -> Secilen Mimari: B_Managed_Co
Low_Budget_M -> Aktif Kontrol: WAF
Low_Budget_M -> Aktif Kontrol: IAMLeastPriv
Low_Budget_M -> Aktif Kontrol: SecurityGrou
Low_Budget_M -> Aktif Kontrol: Logging
Growing_SaaS -> Aktif Kontrol: WAF
Growing_SaaS -> Aktif Kontrol: IAMLeastPriv
Growing_SaaS -> Aktif Kontrol: SecurityGrou
Growing_SaaS -> Aktif Kontrol: Logging
Security_Sen -> Aktif Kontrol: WAF
Security_Sen -> Aktif Kontrol: Shield
Security_Sen -> Aktif Kontrol: IAMLeastPriv
Security_Sen -> Aktif Kontrol: SecurityGrou
Security_Sen -> Aktif Kontrol: Logging
Event_Driven -> Aktif Kontrol: WAF
Event_Driven -> Aktif Kontrol: IAMLeastPriv
Event_Driven -> Aktif Kontrol: SecurityGrou
Event_Driven -> Aktif Kontrol: Logging
High_Traffic -> Aktif Kontrol: WAF
High_Traffic -> Aktif Kontrol: Shield
High_Traffic -> Aktif Kontrol: IAMLeastPriv
High_Traffic -> Aktif Kontrol: SecurityGrou
High_Traffic -> Aktif Kontrol: Logging
